id,code,name,retention
l10n_co_edi.tax_type_0,"01","IVA",FALSE
l10n_co_edi.tax_type_1,"02","IC",FALSE
l10n_co_edi.tax_type_2,"03","ICA",FALSE
l10n_co_edi.tax_type_3,"04","INC",FALSE
l10n_co_edi.tax_type_4,"05","ReteIVA",TRUE
l10n_co_edi.tax_type_5,"06","ReteFuente",TRUE
l10n_co_edi.tax_type_6,"07","ReteICA",TRUE
l10n_co_edi.tax_type_7,"20","FtoHorticultura",FALSE
l10n_co_edi.tax_type_8,"21","Timbre",FALSE
l10n_co_edi.tax_type_9,"22","Bolsas",FALSE
l10n_co_edi.tax_type_10,"23","INCarbono",FALSE
l10n_co_edi.tax_type_11,"24","INCombustibles",FALSE
l10n_co_edi.tax_type_12,"25","Sobretasa Combustibles",FALSE
l10n_co_edi.tax_type_13,"26","Sordicom",FALSE
tax_type_14,"ZY","No causa",FALSE
tax_type_15,"ZZ","Nombre de la figura tributaria",FALSE
